username;tanggal;ulasan;label
Adrian Tambun;12/04/2023 19:47;Aplikasi lokal terbaik yang saya pakai untuk setoran dan jual kripto selain Binance. Terima kasih..;Positif
Aliang Petra;12/04/2023 15:39;gk jelas;Negatif
umar fitrhy;12/04/2023 14:56;Mantap;Positif
Zuhud Wiseno;12/04/2023 08:58;Saya mau lapor polisi terkait penarikan akun dianggap kadaluwarsa padahal baru masuk;Negatif
Jk Sama;11/04/2023 17:41;Maaf kasih bintang 3 dlu, untuk opsi penarikan kurang lengkap, gk ada bank Neo jadi agak sulit untuk penarikannya, tolong diadain dong untuk penarikan dari Bank Neo;Negatif
sun* king;11/04/2023 10:03;Sangat rekomendasi , apalagi bagi bagi THR;Positif
Roy Benito;10/04/2023 18:52;penarikan dipersulit. Salah kode email. Salah kode sms. Salah Google Authenticator. Waktunya juga dibikin mepet. Apa tokocrypto kehabisan duit sehingga gk bisa bayar? hati hati kalian pake aplikasi ini;Negatif
Nur Madi;10/04/2023 00:50;Penarikan ke rekening belum masuk lebih dari 1 jam dan kemana harus mengadu ?;Negatif
musilah mus;09/04/2023 21:32;Sangat mudah dipahami untuk pemula dan semakin banyak pilihan asetnya mantap pokoknya jangan lupa masukkan kode rujukan saya. 57LX9S48;Positif
Harys Munandar;09/04/2023 20:51;Tambahkan fitur perdagangan peer to peer seperti di binance. Terima kasih;Positif
Andri Juliansayaah;08/04/2023 20:26;metode penarikan masih kurang, tambah lagi metode penarikannya melalui dompet digital macam dana, ovo, gopay, dll.;Negatif
SALAMAH;07/04/2023 18:16;Tolong pengembang fiturnya dipermudah tanpa ada minimal batas pembelian, setiap saya mau beli minimal harus 10 dollar;Negatif
Najib Muhtar;07/04/2023 15:39;Aplikasi sampah, setiap penarikan harus pakai google authenticator padahal udh benar kodenya, masih aja salah Aplikasi sampah;Negatif
Hafizah nur Anjani;06/04/2023 14:27;Kebiasaan buruk, sekarang pakai ada jeda waktu Sehabis jual beli ke bidr gk bisa langsung ditarik Lari ke PINTU aja dah;Negatif
The EmWai;05/04/2023 19:21;A69K7736;Negatif
Rudyanto Sudargo;05/04/2023 15:18;Aplikasi yang sangat membantu untuk aplikasi kripto Pake kode rujukan ini jika berkenan L61841U6 Kita akan sama2 dapat imbalan setiap jual beli;Positif
Fizz;05/04/2023 11:03;"Kenapa pas saya daftar itu tidak bisa, selalu muncul tulisan ""Minimal 8 karakter dengan huruf besar dan angka"" Padahal udah pake huruf besar semua, sama sudah lebih dari 8 karakter dan pake angka juga tp kok masih tetap gk bisa? TOLONG JAWAB MIN!!";Positif
Ayep Team;04/04/2023 14:44;Arbtrium belum muncul ?;Negatif
togok gaming;03/04/2023 21:14;Aplikasi konyol mau penarikan aja pake google authenticator mana udah kehapus lagi aplikasinya jadi ribet mending di indodax;Negatif
Eko Heru;03/04/2023 19:59;Mudah dipahami, saya suka..;Positif
Adjust Nour Kasianto;02/04/2023 23:58;update terakhir lebih keren ada info PNL, selain patokan harga dr token, usul lagi agar ada menu bisa otomatis jual / beli menggunakan prosentase nilai beli terakhir atau rupiah dari nilai beli terakhir.;Positif
Puji. Raharjo;02/04/2023 19:35;Tokocrypto.. situs paling prank.. setorannya mudah saat penarikan saldo minim.. cuma ratusan ribu aja susah dgn google authenticator.. situsnya terkesan numpuk dana.. mudah masuk susah keluar.. enakan situs judi... gk seperti indodax dan rekeningku.. mudah digunakan... tolong pengembang tokocrypto.. perbaiki cara penarikan. ada versi google authenticator ada pula versi instan dgn biaya yg agak lebih.. bukan cuma diendapkan saldo orang.. situs penipu tuh tokocrypto..;Negatif
N45rul Muchamad;02/04/2023 19:21;Saya masih menyimpan kode QR google authenticator, tp tetep salah kodenya padahal kode QR saya sudah benar;Negatif
Aerial Nadhira;02/04/2023 13:57;Terdeteksi Virus Packed;Negatif
Roby Candra Pangaribuan;02/04/2023 11:55;Aplikasi penipu tdk bisa ditarik;Negatif
Mother's Pray;02/04/2023 11:05;Serang terus tokocrypto;Negatif
Andri Silvan;02/04/2023 04:03;Aplikasi penghasil cuan, mantap Tokocrypto;Positif
lone bestfriend;01/04/2023 20:59;ubah data bertele tele;Negatif
Militerisasi;01/04/2023 15:26;Hahaha ribet sekarang mah mau penarikan Eth tp harus jelasin sana - sini tapi ujung - ujungnya gk diterima„ Ini saya beli aset kripto hasil duit sendiri bukan hasil gratifikasi kaya si Rafael Alun. Untuk saat ini saya kecewa dengan Tokocrypto dan memutuskan untuk berhenti menggunakannya terima kasih;Negatif
KANDANG TENGKULAK tangerang;01/04/2023 01:02;gk jelas aplikasi ini.. kirim uang mudah banget, giliran mau ditarik ribetnya setengah mati.. sia sia uang saya 250 rb... pas mau ditarik tinggal 146 rb... itu juga ribet banget.. ngirim gk ribet, giliran narik BANYAK VERIFIKASI INI ITU.. gk JELAS... aKU IKHLASKAN UANG saya 250 HILANG.... JGN SAMPAI ADA YANG KAYA AKU NANTI.. MENDINGAN YANG PASTI PASTI AJA..!!!!;Negatif
Mara Suntara;31/03/2023 22:49;". ""Saya pikir masa depan mata uang adalah digital, dan Bitcoin memiliki peluang bagus untuk menjadi mata uang masa depan."" Ayo kita membeli bitcoin dari sekarang untuk masa depan!!! Karena saya pun sudah membelinya, tentunya ya di Tokocrypto. Ayo cepat unduh aplikasinya dijamin untung terus!!! Sukses terus buat Tokocrypto";Positif
kelikdwi margiyanto;31/03/2023 19:32;"Aplikasi jual beli kripto yang pertama kali aku kenal & tetap aku gunakan sampai sekarang. Paling favorit menggunakan fitur ""Jual dengan OCO"" Yang dapat meminimalkan kerugian dan memaksimalkan keuntungan. Sangat mudah digunakan dan mudah dipahami walaupun masih pemula. Dengan biaya yang murah dan sudah pengawasan Bappebti. Jadi tidak ada keraguan untuk menyimpan portofolio. Harapan saya ke depannya Tokocrypto menyediakan fitur tukar dan tampilan grafik seperti jual beli view. Salam Cuan.";Positif
Soleh Setiawan;31/03/2023 18:44;Terbaik;Positif
Alumni anak Warnet;31/03/2023 17:14;Sangat enak bisa terhubung dgn binance aplikasi kripto terbesar, jadi bisa percaya dan aman #Pilih Tokocrypto #Review Berkah #Siap Lebih Cuan;Positif
Bagus;31/03/2023 16:56;Selalu #Pilih Tokocrypto di tokocrypto memakai tokocrypto buat aplikasi pertukaran hasil cuan dari NFT maupun dari air drop dengan biaya datar dan sangat mudah digunakan tentunya pengguna akan bahagia menggunakannya #Review Berkah #Siap Lebih Cuan;Positif
Law Of Nature;31/03/2023 16:43;Aplikasi ringan dan mudah digunakan, biaya untuk penarikan token / koin murah. setoran dan penarikan rupiah cepat dan biaya murah. Aplikasi bagus.;Positif
Biangkerox;31/03/2023 16:33;Semoga Tokocrypto bisa berkembang dengan baik ke depannya & ada fitur futures sama salin jual belinya.;Positif
Sony Ansony;31/03/2023 16:33;sederhana, lebih untung;Positif
Hamzah;31/03/2023 16:29;Aku #Pilih Tokocrypto di tokocrypto buat menyimpan saldo soalnya paling terpercaya karena selalu diperbarui dengan peraturan yg berlaku di Indonesia, udah gitu biayanya paling murah! Semoga ke depannya ada versi Lite supaya bisa dipakai siapa dan dimana aja! #Review Berkah #Siap Lebih Cuan;Positif
Acep Sahril;31/03/2023 16:22;Lebih mudah dipahami, dan untuk biaya perdagangan juga cukup murah. Mantap;Positif
Muhamad Yudi Pratama;31/03/2023 16:18;antarmuka yang mudah digunakan, sehingga mudah bagi pemula untuk mulai melakukan perdagangan mata uang kripto, terus dukungan yang sangat mudah dihubungi karena ada fitur obrolan langsung dan semua masalah itu mudah untuk diselesaikan, maju terus kripto Indonesia;Positif
didie sadikan;31/03/2023 16:18;Semoga Sukses bersama TokoCrypto;Positif
Sunandar Nandar;31/03/2023 16:17;Aplikasi kripto paling aman dan mudah untuk digunakan klo menurut saya;Positif
candra juanda;31/03/2023 16:09;Tokocrypto punya fitur yang lengkap dan enak juga buat pemula;Positif
wasdim;31/03/2023 16:07;Semoga bisa belajar dengan benar;Positif
Arya Paso;31/03/2023 11:38;tokocrypto masih jadi aplikasi terbaik, mudah buat pemula yg masih belajar buat jual beli, mulai dari mengoperasikan sampai fitur yg lengkap;Positif
Riyan;31/03/2023 09:49;Fiturnya lengkap, antarmukanya sederhana dan mudah dimengerti, banyak pilihan token & koin untuk ditukar, biayanya murah, pilihan setoran / penarikan juga beragam, dan satu lagi sering ada kampanye seru yang bikin saya makin untung. Pokoknya Tokocrypto yang terbaik gk ada lawan. ;Positif
Heryansayaah 08;31/03/2023 09:40;TokoCrypto adalah Aplikasi terbaik di Indonesia. saya sering melakukan perdagangan di TokoCrypto dan biaya penarikan juga terjangkau, pokoknya terbaik lah untuk TokoCrypto;Positif
Channel Huda;31/03/2023 08:11;Baik;Positif
Serba Baru;30/03/2023 23:22;Tokocrypto mudah digunakan untuk jual beli pemula , tokocrypto juga sering mengadakan acara yang membuat semangat para investor untuk berkompetisi menjadi pemenang, karena selain hadiahnya besar bisa juga dijadikan modal jual beli lagi biar lebih cuan;Positif
Mokhamad Yusup;30/03/2023 22:26;Saya sangat suka dengan aplikasi ini, semua proses transaksi mudah Hanya satu hal yg saya perlukan tidak bisa saya dapatkan Adalah tidak bisa tangkapan layar bukti disaat saya sangat membutuhkannya Semoga saja ini diketahui dan menjadi pertimbangan agar bisa tangkapan layar bukti transaksi terima kasih;Positif
putra setiawan;30/03/2023 20:31;setoran / penarikan sangat mudah dan tidak kesulitan karna mudah dipahami untuk pemula. Aplikasi Tokocrypto yang sangat direkomendasi buat semua kalangan terutama kalangan pemula, fitur yang cukup mudah dimengerti sehingga mempermudah orang yang baru atau awam mendalami kripto. Harapanku semoga Tokocrypto semakin sukses, semakin jaya selalu dan bertumbuh pesat menjadi aplikasi terbaik. Sukses terus buat Tokocrypto!;Positif
Asep nurhikmah;30/03/2023 16:49;Mau penarikan aja susah verifikasinya ditambah ditangguhkan mlu bep 20 hdeuh;Negatif
Lin Shenjing;30/03/2023 15:12;Selama saya menggunakan aplikasi tokocrypto ini aman aman saja.. Semoga ke depannya bisa lebih baik lagi.. Amin;Positif
SHOLICHIN;30/03/2023 12:56;Bagus keamanan terjamin;Positif
INFO RECEH;30/03/2023 10:53;Aplikasinya sangat mudah dipahami mudah digunakan untuk pemula ataupun yang sudah lama jual beli kripto, biaya kirim kripto murah dan biaya penarikannya juga murah pokoknya mantap banget Tokocrypto;Positif
Tantri 567;30/03/2023 02:52;Mempesona;Positif
Dede Yusuf;29/03/2023 20:15;Pengalaman yang cukup memuaskan untuk investasi kripto di tokocrypto karena biayanya murah pelayanannya bagus jarang sekali pemeliharaan dan sudah bekerja sama dengan Binance langsung jadi memudahkan kita untuk setoran dan penarikan;Positif
Iwan Surya;29/03/2023 18:49;TOKOCRYPTO APLIKASI TERBAIK UNTUK JUAL BELI ASET KRIPTO, SELAIN MUDAH DIGUNAKAN JUGA MUDAH PENGIRIMAN KE ALAMAT DOMPET MANAPUN DAN SISTEM KEAMANAN YG BAGUS, SAYANG TIDAK SEMUa ASET BISA DI Tokocrypto. #Pilih Tokocrypto #Review Berkah #Siap Lebih Cuan;Positif
Asep Budiman;29/03/2023 17:46;Aplikasi yang sangat mantap, proses transaksi cepat dan biaya admin terjangkau.;Positif
alfizar AL;29/03/2023 17:06;Rugi banyak;Negatif
abdul aziz;29/03/2023 17:00;Aplikasinya mudah, aman dan nyaman, apalagi mau transfer ke bank prosesnya mudah;Positif
Fourseason;29/03/2023 16:58;Wah, keren sekali aplikasinya.. sangat bagus dan mudah dan sangat cocok untuk pemula.. Daftarnya gk ribet tinggal pindai ktp dan swafoto wajah kita, penarikan dengan biaya yang cukup murah dan cepat, banyak fitur yang disediakan dari aplikasi jual beli aset Tokocrypto dan tentunya cepat dalam bertransaksi sehingga gk kelewat harga yang bagus dari pasar perdagangan yang luas di aplikasi ini.. banyak acaranya juga buat komunitas Tokocrypto, Rekomendasi banget bagi pemula, dan Semoga semakin baik !!;Positif
Renanda78;29/03/2023 16:24;Saya sangat puas dengan aplikasi #Pilih Tokocrypto di tokocrypto ! Antarmuka yang intuitif dan mudah digunakan membuat saya merasa nyaman saat berdagang. Fiturnya yang luas seperti grafik harga dan indikator teknis membuat analisis saya lebih akurat. Selain itu, proses setoran dan penarikan sangat cepat dan mudah, serta biayanya terjangkau alias murah lho.. hehehe. Saya tidak pernah mengalami masalah teknis. Saya sangat merekomendasikan aplikasi Tokocrypto untuk perdagangan kripto. #Review Berkah;Positif
Pergabutan yg hakiki andi1945;29/03/2023 16:15;Aplikasi Kripto yang berbeda, proses setoran dan penarikan sangat mudah dan tidak banyak masalah disini, bagus, sangat mudah,;Positif
Dedy Sambahtra;29/03/2023 13:48;Tokocrypto memang paling keren. tetap jaga performanya ya;Positif
Riki Maru;29/03/2023 11:52;biaya Admin gede bgt Sekarang, Belum lagi biaya kalo mau penarikan , payah mengalahkan Aplikasi Sebelah, udah pindah yok,,, Mending gk usah mengadakan survei pengguna tiap hari;Negatif
Miftakhul Fauzi;29/03/2023 11:42;Aplikasi bagus;Positif
Rina Wati;29/03/2023 03:22;Penarikan dari jam 1 pagi sampai jam 4 tak kunjung masuk.. Knp admin.....?;Negatif
Escanor Sama;28/03/2023 11:55;Kok gk bisa masuk ya;Negatif
sayaafrul Qomar;28/03/2023 10:41;eror kah..;Negatif
Desayaana Azzahra;28/03/2023 08:58;Dari semua aplikasi jual beli Kripto di Indonesia , emang Tokocrypto yang paling Ok sih , karna : 1. Dari aset kriptonya lengkap 2. Fiturnya jg lengkap , kaya mode gelap, batas & pasar pesanan, 2FA dll 3. pendukung pelanggan 24 jam cepat siap membantu ( pengalaman pribadi ) 4. Tampilan aplikasinya juga bagus gk bikin bingung buat yang baru belajar 5. Komunitasnya Seru Abis 6. Terdaftar di Bappebti Jadi buatku Tokocrypto TERBAIK #Pilih Tokocrypto;Positif
Khusus Pajak45;28/03/2023 07:20;Saya kecewa dengan tokocrypto karena saya lupa kata sandi tokocrypto dan mengubahnya sandi baru pas melakukan penarikan malah dinonaktifkan saya perlu uang saya woy..;Negatif
Hendi Hermawan;28/03/2023 00:45;Tokocrypto aku #pilih tokocrypto di tokocrypto buat jual beli karna mudah digunakan, mudah dimengerti, sederhana tp jelas, terpercaya, dan banyak undiannya sangat menarik sekali semoga ke depannya semakin menguntungkan banyak banyak lagi kemudahan dalam menggunakannya terutama dalam teknologi yang mangkin canggih tentunya #review berkah #siap lebih cuan;Positif
Mas Apung Prayoga;27/03/2023 20:45;jual beli disini sudah dijamin BAPPEBTI, jual beli jadi tenang, aman dan amanah dengan tampilan yang mudah dipahami sekali.;Positif
Eddy Andi Nugraha;27/03/2023 20:15;Tokocrypto banyak memberi ilmu buat para pengguna pemula seperti saya lewat ulasan yg dikirimkan ke penggunanya. Selain itu proses penarikan uangnya sangat cepat, hanya butuh beberapa menit saja. Tokocrypto terbaik.;Positif
BEAUTY CAMP;27/03/2023 19:50;Tokocrypto? Aplikasi jual beli yang sangat nyaman itu ya... Aku udah pakai hampir 3 bulanan lebih, bertahan sampai 3 bulan lamanya pastinya banyak sekali hal - hal yang pernah saya alami. Tp, Aplikasi ini cocok banget buat kalian semua para trader pemula maupun yang udah profesional. Jadi.. tunggu apa lagi buruan dicoba ya;Positif
Jupiter Mx;27/03/2023 19:39;Tokocrypto memang bagus. biaya admin murah, cepat tidak sampai 1 menit, banyak promonya juga. dan buat nambah penghasilan. terbaik deh tokocrypto.;Positif
RadhityaDp _669;27/03/2023 18:03;Mudah digunakan, mudah juga setoran dan penarikannya;Positif
Deden Arif Dinul Hakiki;27/03/2023 17:16;jual beli mudah banget. Pemula sekalipun bisa dapat cuan dan biaya penarikan yang murah tentu jadi andalan TOKOCRYPTO.. semoga sukses selalu..;Positif
Rian Waldiyanto;27/03/2023 16:54;Saya sangat suka fitur - fiturnya menarik dan ada beberapa hal yang membuat saya sangat menyukainya, yaitu: 1. transaksinya cepat 2. Elegan dan mudah digunakan 3. pengguna dapat memahami fitur dengan sempurna diharapkan pengguna sukses selalu dan semoga bisa menjadi yang terbaik;Positif
awwafi _;27/03/2023 16:49;sebuah wadah atau lingkaran yang menurutku sangat berguna buat transaksi masa depan di luar tokocrypto sebuah aplikasi atau bisnis seorang pendirinya, pada dasarnya saya sangat menyukainya semoga terus berkembang dan jangan seperti FTX;Positif
Surat Man;27/03/2023 16:31;Tokocrypto menyenangkan;Positif
Ketty Firmansayaah;27/03/2023 16:28;Aplikasi mudah dipahami untuk para pemula yang ingin memulai dunia jual beli , sistem keamanan baik, jual beli aman dan terpercaya.. rekomendasi .. Aplikasi bagus;Positif
Fiikhaz;27/03/2023 16:19;terima kasih Tokocrypto, Aplikasi termudah digunakan dalam bertransaksi aset digital dan biaya penanganan yang sangat murah. fitur - fitur menarik dan selalu diperbarui aset digital terbaru.;Positif
Lewisiaaa;27/03/2023 14:07;Aplikasi busuk penarikan lemot, dipindai tx gk nemu tx hash;Negatif
Ralphaboy De;27/03/2023 12:51;Aplikasi sampah verifikasi gagal gk ada kelanjutan, liat banyak keluhan pengguna jawabannya selalu sama apa nih aplikasi gk punya admin ya?;Negatif
Alif Nuzul;27/03/2023 08:01;Kok gua merasa kaya ada main nih di tokocrypto, kaya gk sesuai;Negatif
Gipenk Ae;27/03/2023 00:17;Sejauh ini udh bagus, tapi sangat disayangkan untuk melakukan penarikan tidak bisa melalui akun dompet digital (DANA, OVO, GOPAY, dll). Klo bisa ditingkatkan lagi untuk daftar penarikan ditambahkan akun dompet digital;Positif
Ahmad Nurdiansayaah;26/03/2023 21:21;Wah aku bangga selama memakai tokocrypto fitur - fiturnya sangat bagus dan mudah dipahami buat jual beli kripto dan biayanya sangat murah dan penarikannya juga sangat cepat masuk ke rekeningnya. mantap buat aplikasi tokocrypto;Positif
Rinto Supriyadi;26/03/2023 21:11;Kenapa sekarang gk bisa konversi saldo kecil;Negatif
To Damogalad;26/03/2023 20:53;Aplikasi terbaik dalam transaksi kripto, tampilan sederhana dan memiliki fItur yang lengkap dan sangat aman untuk berinvestasi;Positif
Edriik Loger;26/03/2023 20:01;Untuk jadi aplikasi jual beli kripto ada kurangnya, 11 maret seminggu yang lalu saya beli koin Shiba inu sebanyak 3.174.651, tetapi kenapa per tanggal 21 maret dua hari lalu jumlah koin saya berkurang menjadi 3.164.809 koin (-10.000) padahal saya tidak ada melakukan transaksi apapun terhadap koin Shiba saya. Apabila ini pencurian oleh pihak pengelola, sungguh sangat merugikan bila tiap akun yang memiliki koin shiba diambil koinnya sebanyak 10.000 koin tanpa diinfokan. Harap diperbaiki.;Negatif
Dhedy Jumansayah;26/03/2023 19:15;Bagus;Positif
fajri anugrah;26/03/2023 19:14;Saya suka dengan tokocrypto karna mudah dipahami oleh pemula dan biaya jual beli jg murah, selain selalu diperbarui;Positif
Ginn Beii;26/03/2023 14:04;Gk bisa masuk, sesi masuk kadaluwarsa kaya makanan aja;Negatif
Nur Iskandar;26/03/2023 13:49;Berbicara tentang aplikasi aset kripto, sudah cukup banyak di Indonesia. Namun menurut saya Tokocrypto adalah aplikasi terbaik di Indonesia. Dari segi keamanan sudah berlisensi dari Bappebti dan Kominfo jadi sangat aman digunakan di Indonesia. Pilihan token kripto paling lengkap. Tampilan grafik juga mudah dipahami. Jadi ayo jadi pengguna baru dan jual beli di Tokocrypto dan nikmati keuntungan dan kemudahannya!!!;Positif
Askiya Azzahra;26/03/2023 06:34;Bagi yg belum unduh gk usah unduh deh, apalagi setoran, harus menang jual beli dulu 7 kali lipat dari setoran baru boleh penarikan, aplikasi yg aneh, kalau mau coba - coba lebih baik tidak usah, nanti menyesal seperti saya biar hanya 150 ribu;Negatif
